timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
364648678,1.39034,0.330098,0.25613,4002,0,11.2779,-40.1718,-10.0452,4002
364652676,-1.0813,-0.27551,-0.0306133,3998,0,4.05018,-22.2054,-10.5902,3998
364656677,-0.422338,-0.225186,-0.204049,4001,0,-17.5686,56.5663,-8.55064,4001
364661478,1.38676,0.369123,0.414017,4801,0,9.89351,-24.9831,-9.85073,4801
364665479,-0.745753,-0.295419,-0.165323,4001,0,10.7695,-28.4025,-12.7603,4001
364669478,-0.544579,-0.409014,-0.303524,3999,0,-23.9562,52.7251,-5.83171,3999
364673477,1.16898,0.456749,0.547485,3999,0,3.64849,-7.52951,-8.84118,3999
364677477,0.183409,-0.0296431,0.0945983,4000,0,22.3344,-41.5138,-15.1041,4000
364681476,-0.78635,-0.643539,-0.571484,3999,0,-18.9747,32.869,-3.12218,3999
364685478,0.861183,0.27504,0.392097,4002,0,-10.3799,14.8575,-10.96,4002
364689480,0.497272,0.171551,0.474711,4002,0,25.9054,-36.8197,-14.0762,4002
364693478,-0.387849,-0.744964,-0.703836,3998,0,-5.81542,11.1439,-4.86318,3998
364697480,0.283658,0.0218332,0.04994,4002,0,-19.8078,17.9196,-13.4343,4002
364701475,0.504488,0.21879,0.58924,3995,0,18.4842,-18.4716,-8.02815,3995
364705479,0.251368,-0.533544,-0.457658,4004,0,5.72557,-0.719053,-10.5484,4004
364710277,-0.0287472,-0.330915,-0.058258,4798,0,-13.6551,3.99314,-10.8825,4798
364714281,0.101531,0.00107181,0.130598,4004,0,12.5334,-2.4044,-8.62932,4004
