timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
414423189,414423038,0.0471637,-0.180128,-0.0874796,0.164956,0.0,0.0,0.0,1.0
414525589,414525461,-0.0984445,0.0641318,-0.0680393,0.176882,0.0,0.0,0.0,1.0
414627183,414627034,-0.319436,-0.0823409,-0.0930265,0.193337,0.0,0.0,0.0,1.0
414728827,414728677,0.160365,-0.0735455,-0.312285,0.194714,0.0,0.0,0.0,1.0
414830430,414830278,-0.0801913,-0.167334,-0.242341,0.190445,0.0,0.0,0.0,1.0
414932018,414931863,-0.152132,-0.0229994,0.100743,0.178256,0.0,0.0,0.0,1.0
415030426,415030280,0.144528,-0.0665076,-0.0874192,0.172344,0.0,0.0,0.0,1.0
415132026,415131879,-0.0607686,-0.216798,-0.237152,0.165366,0.0,0.0,0.0,1.0
415233606,415233463,0.339641,0.0217667,-0.0395902,0.182434,0.0,0.0,0.0,1.0
415335241,415335082,-0.134337,0.107604,-0.0593181,0.208699,0.0,0.0,0.0,1.0
415436824,415436677,0.21469,-0.166968,-0.0766527,0.197098,0.0,0.0,0.0,1.0
415538426,415538277,-0.0108133,-0.141313,-0.26299,0.212618,0.0,0.0,0.0,1.0
415640832,415640679,-0.0880791,-0.185731,-0.0713904,0.211614,0.0,0.0,0.0,1.0
